MemberID,Sex,YearJoined,year,Status,Age,fitness,racquets,dock,city_dining,island_dining,bar_spending,other_spending
4118,F,2003,2017,ACTIVE,63,N,N,N,0,0,45,0
4118,F,2003,2020,ACTIVE,66,N,N,NA,NA,NA,NA,NA
615,F,2014,2017,ACTIVE,40,Y,N,N,3,0,77,3
615,F,2014,2020,HOLDOVER,43,N,N,NA,NA,NA,NA,NA
1341,M,1987,2017,ACTIVE,55,N,N,Y,353,848,61,1200
1341,M,1987,2020,ACTIVE,58,N,N,NA,NA,NA,NA,NA
3929,M,2003,2017,ACTIVE,74,N,N,N,124,320,10,445
3929,M,2003,2020,ACTIVE,77,N,N,NA,NA,NA,NA,NA
1169,F,1982,2017,ACTIVE,50,N,N,N,45,3,0,47
1169,F,1982,2020,ACTIVE,53,N,N,NA,NA,NA,NA,NA
3036,M,2001,2017,ACTIVE,67,Y,N,N,222,19,265,242
3036,M,2001,2020,ACTIVE,70,Y,N,NA,NA,NA,NA,NA
2957,F,1995,2017,ACTIVE,62,N,N,N,0,38,0,39
2957,F,1995,2020,ACTIVE,65,N,N,NA,NA,NA,NA,NA
4148,M,2016,2017,ACTIVE,76,Y,N,N,160,155,116,315
4148,M,2016,2020,ACTIVE,79,N,N,NA,NA,NA,NA,NA
3239,M,2016,2017,ACTIVE,52,N,N,N,36,182,488,218
3239,M,2016,2020,ACTIVE,55,N,N,NA,NA,NA,NA,NA
3120,M,2009,2017,ACTIVE,56,N,N,N,388,291,897,681
3120,M,2009,2020,ACTIVE,59,N,N,NA,NA,NA,NA,NA
3497,M,1994,2017,ACTIVE,90,N,N,N,210,339,0,549
3497,M,1994,2020,ACTIVE,93,N,N,NA,NA,NA,NA,NA
1265,M,1981,2017,ACTIVE,68,Y,N,N,231,0,65,230
1265,M,1981,2020,ACTIVE,71,Y,N,NA,NA,NA,NA,NA
1934,M,2002,2017,ACTIVE,55,Y,N,Y,363,933,1868,1295
1934,M,2002,2020,ACTIVE,58,N,N,NA,NA,NA,NA,NA
4243,M,2012,2017,ACTIVE,37,N,N,N,303,200,157,505
4243,M,2012,2020,HOLDOVER,40,N,N,NA,NA,NA,NA,NA
4249,M,1969,2017,ACTIVE,71,N,N,Y,159,1828,567,1988
4249,M,1969,2020,ACTIVE,74,N,N,NA,NA,NA,NA,NA
710,M,2013,2017,ACTIVE,45,Y,N,Y,107,1082,66,1145
710,M,2013,2020,ACTIVE,48,Y,N,NA,NA,NA,NA,NA
3714,NA,2004,2017,ACTIVE,70,N,N,Y,0,109,116,109
3714,NA,2004,2020,HOLDOVER,73,N,N,NA,NA,NA,NA,NA
206,M,1997,2017,ACTIVE,48,Y,N,N,221,230,89,452
206,M,1997,2020,ACTIVE,51,Y,N,NA,NA,NA,NA,NA
4292,F,2011,2017,ACTIVE,32,Y,N,N,693,189,183,883
4292,F,2011,2020,ACTIVE,35,N,N,NA,NA,NA,NA,NA
